Camera, Image File Name, Description, Image Location - Easting Coordinate* Image Location - Northing Coordinate* URL
TW701F, TW701F.JPG, Cheung Pei Shan Road near Mei Wan Street, 829717 826375 http://tdcctv.data.one.gov.hk/TW701F.JPG
H702F, H702F.JPG, Western Harbour Crossing Hong Kong Side, 832629 816766 http://tdcctv.data.one.gov.hk/H702F.JPG
H703F, H703F.JPG, Connaught Road West, 832480 816741 http://tdcctv.data.one.gov.hk/H703F.JPG
K901F, K901F.JPG, Western Harbour Crossing Kowloon Side, 834394 818348 http://tdcctv.data.one.gov.hk/K901F.JPG
K931F, K931F.JPG, Tate's Cairn Tunnel Kowloon Side, 839086 822485 http://tdcctv.data.one.gov.hk/K931F.JPG
K952F, K952F.JPG, Eastern Harbour Crossing Kowloon Side, 842183 818178 http://tdcctv.data.one.gov.hk/K952F.JPG
ST942F, ST942F.JPG, Tate's Cairn Tunnel Shatin Side, 839632 826938 http://tdcctv.data.one.gov.hk/ST942F.JPG
K121F, K121F.JPG, Canton Road near Salisbury Road, 835512 817290 http://tdcctv.data.one.gov.hk/K121F.JPG
TL101F, TL101F.JPG, Tsing Long Highway near Ko Po San Tsuen, 823996 833151 http://tdcctv.data.one.gov.hk/TL101F.JPG
TR706F, TR706F.JPG, Tuen Mun Road near MTR Siu Hong Station, 815928 830243 http://tdcctv.data.one.gov.hk/TR706F.JPG
TS101F, TS101F.JPG, Nam Wan Tunnel - Sai Tso Wan Side, 827720 822707 http://tdcctv.data.one.gov.hk/TS101F.JPG
